%Index	IDcell	Segment		Sequence-Index	PAPR		PAPR(C802.16e-01-125)
0 			0 			0 				147 						2.58 		3.65
1 			1 			0 				146 						2.58 		4.09
2 			2 			0 				292 						2.64 		3.93
3 			3 			0 				1 							2.64 		3.94
4 			4 			0 				117 						2.78 		4.14
5 			5 			0 				176 						2.78 		4.13
6 			6 			0 				220 						2.9 		4
7 			7 			0 				73 							2.9 		4.01
8 			8 			0 				49 							2.95 		4.1
9 			9 			0 				244 						2.95 		4.02
10 			10 			0 				98 							3.11 		4.05
11 			11 			0 				195 						3.11 		3.98
12 			12 			0 				42 							3.12 		4.05
13 			13 			0 				251 						3.12 		4.14
14 			14 			0 				205 						3.17 		4.08
15 			15 			0 				88 							3.17 		4.2
16 			16 			0 				45 							3.19 		4
17 			17 			0 				248 						3.19 		4.2
18 			18 			0 				185 						3.2 		4.15
19 			19 			0 				108 						3.2 		4.26
20 			20 			0 				224 						3.22 		4.25
21 			21 			0 				69 							3.22 		4.11
22 			22 			0 				179 						3.25 		4.17
23 			23 			0 				114 						3.25 		3.96
24 			24 			0 				21 							3.26 		4.12
25 			25 			0 				272 						3.26 		4.27
26 			26 			0 				228 						3.27 		4.26
27 			27 			0 				65 							3.27 		4.04
28 			28 			0 				149 						3.33 		4.25
29 			29 			0 				144 						3.33 		4.14
30 			30 			0 				39 							3.33 		4.2
31 			31 			0 				254 						3.33 		4.26
32 			0 			1 				292 						2.31 		3.96
33 			1 			1 				1 							2.31 		3.96
34 			2 			1 				146 						2.41 		3.97
35 			3 			1 				147 						2.41 		3.97
36 			4 			1 				73 							2.63 		3.97
37 			5 			1 				220 						2.63 		3.98
38 			6 			1 				49 							2.71 		3.98
39 			7 			1 				244 						2.71 		3.99
40 			8 			1 				42 							2.77 		3.99
41 			9 			1 				251 						2.77 		3.99
42 			10 			1 				117 						2.77 		3.99
43 			11 			1 				176 						2.77 		3.99
44 			12 			1 				98 							2.83 		3.99
45 			13 			1 				195 						2.83 		4
46 			14 			1 				179 						2.88 		4
47 			15 			1 				114 						2.88 		4
48 			16 			1 				185 						2.99 		4
49 			17 			1 				108 						2.99 		4.01
50 			18 			1 				248 						3 			4.01
51 			19 			1 				45 							3 			4.01
52 			20 			1 				224 						3 			4.02
53 			21 			1 				69 							3 			4.02
54 			22 			1 				40 							3.03 		4.02
55 			23 			1 				253 						3.03 		4.02
56 			24 			1 				272 						3.04 		4.02
57 			25 			1 				21 							3.04 		4.02
58 			26 			1 				39 							3.05 		4.02
59 			27 			1 				254 						3.05 		4.02
60 			28 			1 				238 						3.06 		4.03
61 			29 			1 				55 							3.06 		4.03
62 			30 			1 				110 						3.14 		4.03
63 			31 			1 				183 						3.14 		4.03
64 			0 			2 				292 						2.28 		4.27
65 			1 			2 				1 							2.28 		4.36
66 			2 			2 				73 							2.51 		4.35
67 			3 			2 				220 						2.51 		4.29
68 			4 			2 				98 							2.58 		4.37
69 			5 			2 				195 						2.58 		4.2
70 			6 			2 				146 						2.63 		4.35
71 			7 			2 				147 						2.63 		4.37
72 			8 			2 				42 							2.84 		4.21
73 			9 			2 				251 						2.84 		4.12
74 			10 			2 				244 						2.85 		4.11
75 			11 			2 				49 							2.85 		4.23
76 			12 			2 				183 						2.86 		4.06
77 			13 			2 				110 						2.86 		4.19
78 			14 			2 				117 						2.94 		4.12
79 			15 			2 				176 						2.94 		4.18
80 			16 			2 				39 							2.98 		4.22
81 			17 			2 				254 						2.98 		4.15
82 			18 			2 				21 							3.03 		4.19
83 			19 			2 				272 						3.03 		4.17
84 			20 			2 				253 						3.06 		4.14
85 			21 			2 				40 							3.06 		4.24
86 			22 			2 				179 						3.06 		4.21
87 			23 			2 				114 						3.06 		4.29
88 			24 			2 				69 							3.07 		4.27
89 			25 			2 				224 						3.07 		4.31
90 			26 			2 				228 						3.12 		4.25
91 			27 			2 				65 							3.12 		4.29
92 			28 			2 				157 						3.2 		4.13
93 			29 			2 				136 						3.2 		4.23
94 			30 			2 				51 							3.21 		4.15
95 			31 			2 				242 						3.21 		4.15
96 			0 			0 				83 							3.34 		4.26
97 			1 			1 				171 						3.17 		4.03
98 			2 			2 				55 							3.22 		4.2
99 			3 			0 				210 						3.34 		4.1
100 		4 			1 				122 						3.17 		4.04
101 		5 			2 				238 						3.22 		4.25
102 		6 			0 				122 						3.35 		4.22
103 		7 			1 				65 							3.18 		4.05
104 		8 			2 				82 							3.23 		4.2
105 		9 			0 				171 						3.35 		4.28
106 		10 			1 				228 						3.18 		4.05
107 		11 			2 				211 						3.23 		4.35
108 		12 			0 				238 						3.35 		4.37
109 		13 			1 				205 						3.22 		4.06
110 		14 			2 				83 							3.26 		4.35
111 		15 			0 				55 							3.35 		4.13
112 		16 			1 				88 							3.22 		4.06
113 		17 			2 				210 						3.26 		4.23
